country,year,projected_cases,lower_ci,upper_ci
Kiribati,2025,465.7,96.9,2239.1
Kiribati,2026,471.5,83.2,2674.0
Kiribati,2027,477.5,71.2,3201.0
Kiribati,2028,483.5,60.9,3838.7
Kiribati,2029,489.6,52.0,4609.8
Kiribati,2030,495.7,44.3,5541.9
Kuwait,2024,488.6,111.9,2134.0
Kuwait,2025,461.5,88.0,2420.8
Kuwait,2026,436.0,68.9,2756.7
Kuwait,2027,411.8,53.9,3148.1
Kuwait,2028,389.0,42.0,3602.5
Kuwait,2029,367.5,32.7,4129.0
Kuwait,2030,347.1,25.4,4738.4
Kyrgyzstan,2024,3667.3,840.5,16000.3
Kyrgyzstan,2025,3480.4,664.4,18232.8
Kyrgyzstan,2026,3303.0,523.1,20857.1
Kyrgyzstan,2027,3134.7,410.7,23925.8
Kyrgyzstan,2028,2974.9,321.8,27503.2
